Neighborhood,City,State,med_2011,med_2014
Sunset Park,New York,NY,1500.0,1600.0
Alief,Houston,TX,649.0,899.0
South Side,Corpus Christi,TX,800.0,1595.0
North Hollywood,Los Angeles,CA,1610.0,1600.0
Elmhurst,New York,NY,1375.0,1615.0
Borough Park,New York,NY,1500.0,1600.0
Central City,Corpus Christi,TX,700.0,999.0
Bullard,Fresno,CA,850.0,1100.0
Mid City,Los Angeles,CA,1675.0,1950.0
Bensonhurst,New York,NY,1350.0,1400.0
Southwest Dallas,Dallas,TX,909.0,1100.0
West San Jose,San Jose,CA,1325.0,2395.0
Northeast,El Paso,TX,780.0,925.0
East,Arlington,TX,740.0,995.0
Westlake,Los Angeles,CA,1644.0,1395.0
Koreatown,Los Angeles,CA,1100.0,1150.0
North Long Beach,Long Beach,CA,1294.0,1250.0
White Haven-Coro Lake,Memphis,TN,740.0,750.0
Soundview,New York,NY,1050.0,1375.0
Sun Valley,Los Angeles,CA,1250.0,2000.0
Lower East Side,New York,NY,2300.0,2895.0
Logan Square,Chicago,IL,1100.0,1295.0
South Bronx,New York,NY,1350.0,1500.0
Northwest,El Paso,TX,785.0,1295.0
Southeast,Arlington,TX,1100.0,1300.0
South Scottsdale,Scottsdale,AZ,1200.0,1395.0
Flushing,New York,NY,1450.0,1650.0
Preston Hollow,Dallas,TX,1100.0,1350.0
Canarsie,New York,NY,1400.0,1600.0
Little Village,Chicago,IL,850.0,950.0
Estrella,Phoenix,AZ,950.0,945.0
Canoga Park,Los Angeles,CA,1750.0,1925.0
Boyle Heights,Los Angeles,CA,,1475.0
Sylmar,Los Angeles,CA,1300.0,1995.0
Downtown,San Jose,CA,1550.0,2336.0
Ahwatukee Foothills,Phoenix,AZ,999.0,1375.0
West,Arlington,TX,820.0,1050.0
Pacoima,Los Angeles,CA,1150.0,1800.0
Gravesend,New York,NY,1450.0,1500.0
Evergreen,San Jose,CA,2389.0,2499.0
Sharpstown,Houston,TX,630.0,1200.0
San Pedro,Los Angeles,CA,1350.0,1395.0
North Valley,San Jose,CA,1700.0,2232.0
Sheepshead Bay,New York,NY,1275.0,1527.0
Murray Hill,New York,NY,1600.0,1700.0
Willow Glen,San Jose,CA,1455.0,2022.0
North Raleigh,Raleigh,NC,895.0,1050.0
South Ozone Park,New York,NY,1550.0,1595.0
Southwest,Chula Vista,CA,1400.0,1550.0
Northridge,Los Angeles,CA,1690.0,1766.0
West Anaheim,Anaheim,CA,1275.0,1405.0
Forest Hills,New York,NY,1500.0,1925.0
East Village,New York,NY,2650.0,3000.0
Eldridge - West Oaks,Houston,TX,909.0,1452.0
Cordova-Appling,Memphis,TN,899.0,1150.0
Blossom Valley,San Jose,CA,1625.0,1898.0
Jackson Heights,New York,NY,1400.0,1700.0
Northwest Raleigh,Raleigh,NC,905.0,1250.0
Far Rockaway,New York,NY,1395.0,1350.0
Ridgewood,New York,NY,1400.0,1700.0
West Rogers Park,Chicago,IL,950.0,1100.0
Reseda,Los Angeles,CA,1950.0,2100.0
Mira Mesa,San Diego,CA,1495.0,1705.0
East Elmhurst,New York,NY,1495.0,1800.0
Midtown,Memphis,TN,730.0,645.0
Cambrian Park,San Jose,CA,1425.0,1850.0
Hickory Ridge-South Riverdale,Memphis,TN,649.0,950.0
Panorama City,Los Angeles,CA,1275.0,1495.0
Princess Anne,Virginia Beach,VA,1575.0,1550.0
Midwood,New York,NY,1300.0,1395.0
Central Southwest,Houston,TX,1025.0,1080.0
North Hills,Los Angeles,CA,1995.0,1575.0
South Dorchester,Boston,MA,1575.0,1700.0
Roxbury,Boston,MA,1600.0,1900.0
South Belt - Ellington,Houston,TX,750.0,1267.0
Southeast Colorado Springs,Colorado Springs,CO,825.0,975.0
Clear Lake,Houston,TX,755.0,1300.0
Northside-Northline,Houston,TX,,1175.0
Park Slope,New York,NY,2095.0,2700.0
Cedar Crest,Dallas,TX,750.0,775.0
Oxford Circle,Philadelphia,PA,850.0,950.0
East Colorado Springs,Colorado Springs,CO,900.0,1000.0
Northeast Raleigh,Raleigh,NC,850.0,1050.0
Green Run,Virginia Beach,VA,1150.0,1150.0
Winnetka Heights,Dallas,TX,,789.0
Wilmington,Los Angeles,CA,1500.0,1200.0
Mission,San Francisco,CA,2350.0,3500.0
Archer Heights,Chicago,IL,1050.0,1100.0
Bath Beach,New York,NY,1350.0,1500.0
Northeast Colorado Springs,Colorado Springs,CO,999.0,1150.0
Central Colorado Springs,Colorado Springs,CO,765.0,795.0
Raleigh,Memphis,TN,729.0,825.0
Woodward Park,Fresno,CA,1000.0,1299.0
Kingwood Area,Houston,TX,930.0,1000.0
Greater Fondren Southwest,Houston,TX,675.0,825.0
Central City,Phoenix,AZ,749.0,795.0
Gramercy,New York,NY,2750.0,3200.0
South Austin,Chicago,IL,850.0,823.0
Brownsville,New York,NY,1276.0,1400.0
Lower Valley,El Paso,TX,,895.0
Encino,Los Angeles,CA,2100.0,2035.0
Ozone Park,New York,NY,1400.0,1599.0
The Heights,Jersey City,NJ,1350.0,1500.0
Fresno High Roeding,Fresno,CA,695.0,650.0
Tremont,New York,NY,975.0,1235.0
Rogers Park,Chicago,IL,875.0,1000.0
Albany Park,Chicago,IL,1050.0,1250.0
Downtown,Memphis,TN,1000.0,850.0
Kensington,New York,NY,1350.0,1900.0
Kempsville,Virginia Beach,VA,1175.0,1225.0
Flatlands,New York,NY,1350.0,1450.0
University Heights,New York,NY,1025.0,1185.0
Richmond Hill,New York,NY,1350.0,1500.0
Encanto,Phoenix,AZ,845.0,850.0
Little Havana,Miami,FL,1250.0,1425.0
Northwest,Chula Vista,CA,1165.0,1295.0
Central City,Los Angeles,CA,,1500.0
Maspeth,New York,NY,1600.0,1700.0
Westwood,Los Angeles,CA,3250.0,3200.0
Queens Village,New York,NY,1400.0,1425.0
Flagami,Miami,FL,1250.0,1395.0
Lake Highlands,Dallas,TX,865.0,1029.0
Bedford Park,New York,NY,1100.0,1250.0
Hoover,Fresno,CA,755.0,735.0
Bay Ridge,New York,NY,1400.0,1650.0
Lake View,Chicago,IL,1500.0,1700.0
Mott Haven,New York,NY,1329.0,1800.0
Lone Mountain,Las Vegas,NV,1050.0,1150.0
Casas Adobes,Tucson,AZ,860.0,1250.0
Northeast Anaheim,Anaheim,CA,1545.0,1500.0
Englewood,Chicago,IL,1000.0,1000.0
Centennial Hills,Las Vegas,NV,1135.0,1100.0
Fairgrounds,San Jose,CA,1470.0,2161.0
Granada Hills,Los Angeles,CA,2075.0,2300.0
Gresham,Chicago,IL,775.0,775.0
Valencia,Santa Clarita,CA,1675.0,2000.0
Golfcrest - Bellfort - Reveille,Houston,TX,599.0,
Michael Way,Las Vegas,NV,771.0,900.0
Woodside,New York,NY,1450.0,1750.0
Mclane,Fresno,CA,685.0,750.0
Santa Teresa,San Jose,CA,1945.0,2240.0
Greater Uptown,Houston,TX,1399.0,1650.0
Highland Park,Los Angeles,CA,1190.0,1399.0
Bayside,New York,NY,1700.0,1900.0
Brighton Park,Chicago,IL,,800.0
Southwest,Arlington,TX,821.0,1250.0
Coney Island,New York,NY,1450.0,1600.0
Woodlake - Briarmeadow,Houston,TX,835.0,1335.0
Southwest Anaheim,Anaheim,CA,1290.0,1600.0
Central,El Paso,TX,,800.0
University City,San Diego,CA,1700.0,1845.0
Oak Lawn,Dallas,TX,1571.0,1502.0
Summerlin North,Las Vegas,NV,1250.0,1400.0
Hamilton Heights,New York,NY,1650.0,2200.0
Rancho Penasquitos,San Diego,CA,1575.0,2100.0
Fordham,New York,NY,975.0,1245.0
Winnetka,Los Angeles,CA,1795.0,1850.0
Sunnyside,New York,NY,1495.0,1785.0
Chelsea,New York,NY,2750.0,3474.0
Mid City West,Los Angeles,CA,2395.0,2500.0
Brighton,Boston,MA,1800.0,1995.0
Greenville,Jersey City,NJ,1175.0,1200.0
Alameda - West Flagler,Miami,FL,1350.0,1600.0
Memorial,Houston,TX,1195.0,2081.0
Woodland Hills,Los Angeles,CA,2495.0,2150.0
El Sereno,Los Angeles,CA,1600.0,1350.0
Greenwich Village,New York,NY,2750.0,3350.0
South Shore,Chicago,IL,792.0,750.0
Palms,Los Angeles,CA,1550.0,1795.0
Almaden Valley,San Jose,CA,,2495.0
Desert View,Phoenix,AZ,1500.0,1695.0
Gulfton,Houston,TX,830.0,985.0
Portage Park,Chicago,IL,800.0,1150.0
Briargate,Colorado Springs,CO,1150.0,1250.0
Richmond,Philadelphia,PA,700.0,825.0
Salem,Virginia Beach,VA,1250.0,1395.0
Rego Park,New York,NY,1425.0,1775.0
Carmel Valley,San Diego,CA,2010.0,2150.0
West Adams,Los Angeles,CA,,1275.0
Jefferson Park,Chicago,IL,1200.0,1100.0
Allapattah,Miami,FL,1400.0,1200.0
Kew Gardens Hills,New York,NY,1600.0,1625.0
Valley High-North Laguna,Sacramento,CA,1175.0,1250.0
Rancho Bernardo,San Diego,CA,1600.0,1695.0
Canyon Country,Santa Clarita,CA,1432.0,1655.0
Newhall,Santa Clarita,CA,1350.0,1550.0
Morris Heights,New York,NY,1175.0,1309.0
Anaheim Hills,Anaheim,CA,2005.0,2245.0
Humboldt Park,Chicago,IL,1000.0,1300.0
Bay Area,Corpus Christi,TX,754.0,1200.0
Morningside Heights,New York,NY,2300.0,2750.0
Ocean Parkway,New York,NY,1300.0,1495.0
Ocean Hill,New York,NY,1550.0,1800.0
Southeast Anaheim,Anaheim,CA,1295.0,1495.0
Montbello,Denver,CO,1050.0,1352.0
Greater Heights,Houston,TX,1500.0,1408.0
Parkchester,New York,NY,1050.0,1199.0
River Oaks-Kirby-Balmoral,Memphis,TN,850.0,1050.0
Oak Forest - Garden Oaks,Houston,TX,1300.0,1475.0
North Dallas,Dallas,TX,1042.0,1995.0
Frankford,Philadelphia,PA,685.0,725.0
East Boston,Boston,MA,1500.0,1800.0
Harbor Gateway,Los Angeles,CA,1095.0,1395.0
Parkway Village-Oakhaven,Memphis,TN,,850.0
Longwood,New York,NY,,1375.0
Mar Vista,Los Angeles,CA,1545.0,1875.0
Coral Way,Miami,FL,1575.0,2000.0
Back of the Yards,Chicago,IL,1075.0,1050.0
Watts,Los Angeles,CA,,1500.0
South End,Tacoma,WA,875.0,1100.0
Mid Wilshire,Los Angeles,CA,1950.0,1932.0
Bayside,Virginia Beach,VA,1150.0,1250.0
Briarforest Area,Houston,TX,794.0,1029.0
Lawncrest,Philadelphia,PA,815.0,725.0
North,Arlington,TX,599.0,900.0
High Bridge,New York,NY,1300.0,1200.0
Gage Park,Chicago,IL,810.0,
Studio City,Los Angeles,CA,2478.0,2000.0
North Ironbound,Newark,NJ,,1400.0
Greater Greenspoint,Houston,TX,499.0,750.0
Crenshaw,Los Angeles,CA,1375.0,925.0
Cragin,Chicago,IL,1100.0,975.0
North Cheyenne,Las Vegas,NV,1000.0,1095.0
Arleta,Los Angeles,CA,,
Bridgeport,Chicago,IL,900.0,950.0
Lake View East,Chicago,IL,1095.0,1250.0
Laveen,Phoenix,AZ,1049.0,1050.0
Norwood,New York,NY,1075.0,1275.0
Melrose,New York,NY,1325.0,1475.0
North Park,San Diego,CA,1125.0,1295.0
East Reno,Reno,NV,680.0,800.0
Edenvale - Seven Trees,San Jose,CA,1700.0,2295.0
Silver Lake,Los Angeles,CA,2400.0,1895.0
Morris Park,New York,NY,1200.0,1250.0
Green Valley North,Henderson,NV,948.0,1295.0
Inwood,New York,NY,1295.0,1450.0
Woodhaven,New York,NY,1250.0,1400.0
Charleston Heights,Las Vegas,NV,800.0,875.0
Venice,Los Angeles,CA,3900.0,3750.0
Kalihi-Palama,Honolulu,HI,,1595.0
Chatsworth,Los Angeles,CA,2100.0,2250.0
Berryessa,San Jose,CA,,2595.0
Wakefield,New York,NY,1450.0,1294.0
Westchester,Los Angeles,CA,1884.0,1900.0
Downtown,Los Angeles,CA,1695.0,2404.0
Dyker Heights,New York,NY,1500.0,1750.0
Hyde Park,Los Angeles,CA,,1275.0
South Loop,Chicago,IL,1800.0,1936.0
Addicks Park Ten,Houston,TX,900.0,1105.0
Shelby Forest-Frayser,Memphis,TN,525.0,650.0
East Tremont,New York,NY,1250.0,1500.0
Powers,Colorado Springs,CO,1150.0,1275.0
Hollis,New York,NY,1500.0,1511.0
Southwest,Reno,NV,850.0,850.0
Rancho Charleston,Las Vegas,NV,925.0,969.0
Co-op City,New York,NY,,
Brentwood,Los Angeles,CA,2300.0,3400.0
Mattapan,Boston,MA,1400.0,1675.0
West Lawn,Chicago,IL,,800.0
Wolf Creek,Dallas,TX,,1095.0
La Sierra,Riverside,CA,1361.0,1200.0
St. Albans,New York,NY,1436.0,1400.0
West,Fresno,CA,950.0,1025.0
Olney,Philadelphia,PA,,750.0
Berclair-Highland Heights,Memphis,TN,650.0,625.0
Southwest Colorado Springs,Colorado Springs,CO,860.0,1100.0
South Boston,Boston,MA,2295.0,2750.0
Riverview West,Santa Ana,CA,,1375.0
Lincoln Heights,Los Angeles,CA,,1250.0
Whitney,Las Vegas,NV,895.0,1000.0
Cobbs Creek,Philadelphia,PA,,850.0
Corona Valley,Corona,CA,2350.0,2350.0
Throggs Neck,New York,NY,1400.0,1700.0
Greater Inwood,Houston,TX,799.0,745.0
Holmesburg-Torresdale,Philadelphia,PA,1100.0,950.0
Mayfair,Philadelphia,PA,,900.0
East Las Vegas,Las Vegas,NV,700.0,725.0
Edgewater Beach,Chicago,IL,795.0,1050.0
Oak Cliff,Dallas,TX,1500.0,1008.0
West Hills,Los Angeles,CA,2500.0,2850.0
North Central,Pasadena,CA,1890.0,1750.0
Fort Greene,New York,NY,2400.0,2750.0
Fort Bend - Houston,Houston,TX,,1100.0
14621,Rochester,NY,,650.0
Del Rey,Los Angeles,CA,2740.0,3050.0
Bustleton,Philadelphia,PA,790.0,995.0
Northwest Anaheim,Anaheim,CA,1220.0,1600.0
Whitestone,New York,NY,1700.0,1875.0
Little Woods,New Orleans,LA,750.0,1200.0
Mears Corner,Virginia Beach,VA,1295.0,1400.0
Glendale,New York,NY,1400.0,1500.0
Hyde Park,Boston,MA,1400.0,1600.0
Old Brooklyn,Cleveland,OH,595.0,695.0
Middle Village,New York,NY,1500.0,1650.0
M Streets,Dallas,TX,1309.0,1325.0
Homecrest,New York,NY,1250.0,1450.0
West Raleigh,Raleigh,NC,750.0,1000.0
Kingsessing,Philadelphia,PA,800.0,795.0
Prospect Lefferts Gardens,New York,NY,1250.0,1600.0
South Corona,Corona,CA,,2200.0
Makiki-Lower Punchbowl-Tantalus,Honolulu,HI,1275.0,1150.0
Kingsbridge,New York,NY,1250.0,1300.0
Marquette Park,Chicago,IL,850.0,790.0
The Colony,Anaheim,CA,1339.0,1760.0
Hollywood Hills,Los Angeles,CA,3850.0,3799.0
Brighton Beach,New York,NY,1550.0,1725.0
Juniata Park-Feltonville,Philadelphia,PA,,749.0
Bronzeville,Chicago,IL,1065.0,1250.0
Greenpoint,New York,NY,2100.0,2700.0
West Oak Lane,Philadelphia,PA,,720.0
Torresdale,Philadelphia,PA,899.0,850.0
Otay Mesa West,San Diego,CA,,1400.0
Downtown,Jersey City,NJ,2050.0,2200.0
Gold  Coast,Chicago,IL,1575.0,1832.0
Rochdale,New York,NY,1600.0,1650.0
Belmont Central,Chicago,IL,,1200.0
Bay Terraces,San Diego,CA,1600.0,1700.0
Columbia Heights,Washington,DC,2275.0,2395.0
Somerton,Philadelphia,PA,825.0,795.0
Wynnefield,Philadelphia,PA,1200.0,1195.0
Hawaii Kai,Honolulu,HI,2600.0,2800.0
La Jolla,San Diego,CA,3950.0,5000.0
Sugar House,Salt Lake City,UT,899.0,900.0
Roslindale,Boston,MA,1350.0,1800.0
Poly High District,Long Beach,CA,925.0,1150.0
West Roxbury,Boston,MA,1650.0,1795.0
Sawtelle,Los Angeles,CA,1850.0,2195.0
Center City West,Philadelphia,PA,1750.0,1950.0
Saugus,Santa Clarita,CA,1525.0,1900.0
Summerlin South,Las Vegas,NV,1450.0,1638.0
Payne Phallen,Saint Paul,MN,825.0,1050.0
The Lakes,Las Vegas,NV,1195.0,1395.0
Clinton,New York,NY,2850.0,3100.0
Jefferson Park,Los Angeles,CA,1250.0,1300.0
Eastex - Jensen Area,Houston,TX,,1200.0
Pacific Beach,San Diego,CA,1550.0,2000.0
Tarzana,Los Angeles,CA,2400.0,1990.0
Capitol Hill,Seattle,WA,1525.0,1640.0
Spring Branch West,Houston,TX,999.0,1533.0
Valley Glen,Los Angeles,CA,1250.0,1595.0
South Chicago,Chicago,IL,950.0,900.0
West Pullman,Chicago,IL,1325.0,1150.0
Overbrook,Philadelphia,PA,825.0,800.0
Prospect Hill,San Antonio,TX,,
Roxborough,Philadelphia,PA,1155.0,1374.0
Westchase,Houston,TX,800.0,1233.0
Bellerose,New York,NY,1500.0,1550.0
Gateway - Green Valley Ranch,Denver,CO,965.0,1459.0
Westwood,Cincinnati,OH,535.0,699.0
Eastside-ENACT,Tacoma,WA,1195.0,1000.0
Financial District,New York,NY,3000.0,3345.0
Neartown - Montrose,Houston,TX,1352.0,1804.0
Alum Rock-East Foothills,San Jose,CA,,1980.0
South End,Boston,MA,2400.0,2900.0
Little Haiti,Miami,FL,1400.0,1495.0
West End,Tacoma,WA,875.0,925.0
Glassell Park,Los Angeles,CA,1200.0,1185.0
West Side,Long Beach,CA,,
Allston,Boston,MA,2200.0,2400.0
North Valleys,Reno,NV,950.0,1100.0
Flatiron District,New York,NY,2895.0,3600.0
Alexandria Wrest,Alexandria,VA,1503.0,1650.0
Southeast Boise,Boise,ID,795.0,975.0
Tierrasanta,San Diego,CA,1450.0,1845.0
Briarwood,New York,NY,1450.0,1475.0
Elmwood,Philadelphia,PA,700.0,785.0
Pico-Union,Los Angeles,CA,,850.0
Haddington-Carroll Park,Philadelphia,PA,800.0,825.0
Jamaica Plain,Boston,MA,1800.0,2400.0
Pennsport-Whitman-Queen,Philadelphia,PA,1150.0,1295.0
Rhawnhurst,Philadelphia,PA,825.0,875.0
Northeast,Anchorage,AK,,1575.0
Fairhill,Philadelphia,PA,,700.0
Northshore,Houston,TX,619.0,
Reynolds Corners,Toledo,OH,650.0,
Capitol Hill,Washington,DC,1800.0,2100.0
South Dallas,Dallas,TX,1250.0,1095.0
Fort Hamilton,New York,NY,1375.0,1695.0
Auburndale,New York,NY,1500.0,2000.0
Wharton-Hawthorne-Bella Vista,Philadelphia,PA,1350.0,1495.0
Brickell,Miami,FL,1900.0,2400.0
McCully-Moiliili,Honolulu,HI,1350.0,1200.0
Center City East,Philadelphia,PA,1395.0,1650.0
Wrigley,Long Beach,CA,995.0,1200.0
Garfield Ridge,Chicago,IL,,1600.0
Greater Eastside,Saint Paul,MN,795.0,775.0
North Dorchester,Boston,MA,1725.0,1995.0
Spring Branch Central,Houston,TX,899.0,
Journal Square,Jersey City,NJ,1300.0,1450.0
Eagle Rock,Los Angeles,CA,,1495.0
Los Feliz,Los Angeles,CA,1724.0,2150.0
Indian River,Chesapeake,VA,1220.0,1200.0
Ravenswood,Chicago,IL,975.0,1400.0
Eagle Ford,Dallas,TX,,
Nevada-Lidgerwood,Spokane,WA,660.0,625.0
North Linden,Columbus,OH,595.0,650.0
Howard Beach,New York,NY,1650.0,2000.0
North Austin,Austin,TX,725.0,895.0
Pocket,Sacramento,CA,999.0,1295.0
Harvard Heights,Los Angeles,CA,,1325.0
Washington Avenue Coalition - Memorial Park,Houston,TX,1634.0,2015.0
West Englewood,Chicago,IL,1200.0,1200.0
Meadowview,Sacramento,CA,1100.0,1100.0
Northwest Colorado Springs,Colorado Springs,CO,955.0,1100.0
Forest Park,Springfield,MA,990.0,950.0
Northside Village,Houston,TX,,
Academy Gardens,Philadelphia,PA,950.0,875.0
Bernal Heights,San Francisco,CA,3200.0,2489.0
Aliamanu-Salt Lake-Foster Village,Honolulu,HI,1390.0,1400.0
University District,Seattle,WA,1199.0,1415.0
College Point,New York,NY,1600.0,1700.0
Paradise Hills,Albuquerque,NM,,1150.0
Spring Branch East,Houston,TX,1250.0,1450.0
Clairemont Mesa East,San Diego,CA,1234.0,1475.0
West Valley,Boise,ID,795.0,945.0
Laurelton,New York,NY,1500.0,1600.0
Westgate Hts,Albuquerque,NM,,995.0
Ramona,Riverside,CA,985.0,1050.0
North End,Saint Paul,MN,750.0,1050.0
Highland Hills,San Antonio,TX,,730.0
Acres Home,Houston,TX,815.0,745.0
South Boulevard-Park Row Historic,Dallas,TX,,1250.0
South Natomas,Sacramento,CA,803.0,1195.0
Landmark-Van Dom,Alexandria,VA,1499.0,1660.0
San Ysidro,San Diego,CA,,
Waikiki,Honolulu,HI,1397.0,1850.0
University City,Philadelphia,PA,1438.0,895.0
Abbott Loop,Anchorage,AK,,1350.0
Rosedale,New York,NY,1650.0,1700.0
Winchester,Las Vegas,NV,825.0,950.0
South Tacoma,Tacoma,WA,760.0,1000.0
Urbandale-Parkdale,Dallas,TX,,950.0
Pelham Bay,New York,NY,1300.0,1600.0
Creston,Grand Rapids,MI,750.0,795.0
Ogontz,Philadelphia,PA,,850.0
Northwest,Reno,NV,1275.0,1425.0
Woodbridge,Irvine,CA,1950.0,2500.0
Great Bridge,Chesapeake,VA,1375.0,1450.0
Douglaston-Little Neck,New York,NY,1800.0,2050.0
Greenwood,New York,NY,1750.0,2150.0
Highland,Saint Paul,MN,1175.0,1125.0
Echo Park,Los Angeles,CA,,1580.0
North End,Tacoma,WA,995.0,995.0
Marine Park,New York,NY,,1400.0
Northeast,Reno,NV,695.0,625.0
Great Neck,Virginia Beach,VA,1179.0,1195.0
South Central,Reno,NV,685.0,600.0
Central,Arlington,TX,811.0,720.0
Capitol,Town of Madison,WI,1250.0,1250.0
Excelsior,San Francisco,CA,,
North Central,Philadelphia,PA,1350.0,1600.0
Powellhurst Gilbert,Portland,OR,770.0,929.0
Meadowbrook - Allendale,Houston,TX,,
East Toledo,Toledo,OH,,485.0
Columbus Circle,New York,NY,2850.0,3250.0
Point Breeze,Philadelphia,PA,975.0,950.0
Harbor City,Los Angeles,CA,1790.0,1350.0
Las Tierras,El Paso,TX,,1100.0
Pelham Gardens,New York,NY,1350.0,1400.0
West Village,New York,NY,2850.0,3745.0
South Norfolk,Chesapeake,VA,975.0,1150.0
Oakland Gardens,New York,NY,1500.0,1850.0
West Town,Chicago,IL,1500.0,2110.0
Fresh Meadows,New York,NY,1700.0,1750.0
North Austin,Chicago,IL,900.0,825.0
South Philadelphia,Philadelphia,PA,875.0,1000.0
Kew Gardens,New York,NY,1420.0,1650.0
Liliha-Kapalama,Honolulu,HI,,1000.0
Central Richmond,San Francisco,CA,1795.0,2650.0
Save the Valley 21,El Paso,TX,,
"Springlake, University Terrace",Shreveport,LA,815.0,1050.0
Otay Ranch,Chula Vista,CA,2195.0,2095.0
Eltingville,New York,NY,,1900.0
Clinton Hill,New York,NY,1800.0,2650.0
Great Kills,New York,NY,,1350.0
Edison,Fresno,CA,,650.0
Potomac West,Alexandria,VA,1910.0,2155.0
Fenway,Boston,MA,2050.0,2500.0
Linda Vista,San Diego,CA,1526.0,1750.0
Greater Hobby Area,Houston,TX,439.0,
Pacific Palisades,Los Angeles,CA,5000.0,5000.0
Disston Heights,Saint Petersburg,FL,950.0,1100.0
Forest Hill,Newark,NJ,,1200.0
Hunting Park,Philadelphia,PA,,725.0
Sand Lake,Anchorage,AK,,1650.0
Liberty City,Miami,FL,1100.0,995.0
Manoa,Honolulu,HI,2200.0,1300.0
Hazelwood,Portland,OR,825.0,825.0
Uptown,Chicago,IL,1150.0,1255.0
Fox Chase,Philadelphia,PA,,775.0
Sixteen Acres,Springfield,MA,,
Germantown,Philadelphia,PA,775.0,850.0
Arlanza,Riverside,CA,,1325.0
Greenbrier East,Chesapeake,VA,1295.0,1395.0
Northwest,Spokane,WA,,750.0
Valley Village,Los Angeles,CA,1900.0,1685.0
Centennial,Portland,OR,850.0,1000.0
Active Bethel,Eugene,OR,825.0,850.0
Sunland,Los Angeles,CA,1095.0,2199.0
South,Pasadena,CA,1809.0,1937.0
Fairmount-Spring Garden,Philadelphia,PA,1488.0,1375.0
West Park,Irvine,CA,2100.0,2085.0
Pico-Robertson,Los Angeles,CA,1995.0,2095.0
West Side,Jersey City,NJ,1550.0,1300.0
Northampton,Hampton,VA,925.0,1100.0
Serra Mesa,San Diego,CA,2000.0,1795.0
Logan-Fern Rock,Philadelphia,PA,,800.0
East Germantown,Philadelphia,PA,850.0,715.0
East Central,Salt Lake City,UT,,800.0
Anthem,Henderson,NV,1350.0,1450.0
Sutton Place,New York,NY,2700.0,3400.0
Tujunga,Los Angeles,CA,1285.0,1500.0
Near North,Chicago,IL,1575.0,1984.0
Girard Estates,Philadelphia,PA,900.0,950.0
South Park,Houston,TX,,900.0
Bayview,San Francisco,CA,,2200.0
Westbury,Houston,TX,1200.0,800.0
Brooklyn Heights,New York,NY,2175.0,2750.0
West Central,Pasadena,CA,1900.0,1695.0
South Side,Toledo,OH,450.0,695.0
Weequahic,Newark,NJ,,1175.0
Green Valley South,Henderson,NV,1300.0,1225.0
Flour Bluff,Corpus Christi,TX,,1150.0
Seminary Hill,Alexandria,VA,1550.0,1595.0
Downtown,San Francisco,CA,1395.0,3300.0
Lower Peters Canyon,Irvine,CA,2495.0,1905.0
19th Ward,Rochester,NY,,695.0
Castle Hill,New York,NY,1200.0,1600.0
West Las Vegas,Las Vegas,NV,895.0,850.0
East Garfield Park,Chicago,IL,1200.0,1100.0
Back Bay,Boston,MA,2500.0,2850.0
Porter Ranch,Los Angeles,CA,2645.0,2795.0
Mission Hills,Los Angeles,CA,,1895.0
Roseland,Chicago,IL,700.0,850.0
Northwest Torrance,Torrance,CA,1275.0,1525.0
Braeswood Place,Houston,TX,1227.0,1579.0
East Central,Pasadena,CA,1095.0,1900.0
East Side,Chicago,IL,,720.0
Cilo Vista,El Paso,TX,859.0,975.0
